,"地區
 (北投區/士林區/內湖區/松山區/中山區/大同區/南港區/信義區/大安區/中正區/萬華區/文山區)",,"運動種類
 (重訓/有氧/瑜珈/球類/游泳/戶外運動)",,"設施配備
 (淋浴間/置物櫃/停車場/Wi-Fi)","場館規模
 (大型綜合場所/小型運動場所)", (有/無),(女性專用/無障礙設施/寵物友善/性別友善設施),,,,
索莉雅太陽瑜珈有限公司,中山區,,,,,,,,,臺北市中山區松江路192號6樓之1,,
丁丁撞球場,中山區,,,,,,,,,臺北市中山區雙城街2-1號地下1樓,,
九樂商行,中山區,,,,,,,,,臺北市中山區民生東路1段29號3樓之2,,
球聖撞球館,中山區,,,,,,,,,臺北市中山區長春路258巷6號地下1樓,,
巧克叔叔體育用品社,中山區,,,,,,,,,臺北市中山區龍江路329號B1,,
中正遊樂場,中山區,,,,,,,,,中山區松江路281號B1,,
國榮桌球行天宮館,中山區,,,,,,,,,臺北市中山區松江路283號3樓,,
成功高中運動中心,中正區,,,,,,,,,臺北市中正區濟南路1段71號,,
中正運動中心,中正區,,,,,,,,,臺北市中正區信義路1段1號,,
中正國中,中正區,,,,,,,,,臺北市中正區愛國東路158號,,
臺北市立大學博愛校區附設泳池,中正區,,,,,,,,,臺北市中正區愛國西路1號,,
洛德城堡,中正區,,,,,,,,,臺北市中正區思源街1號,,
Curves忠孝新生店,中正區,,,,,,,,,臺北市中正區新生南路1段60號3樓,,
World Gym健身俱樂部台北站前店,中正區,,,,,,,,,臺北市中正區忠孝西路1段50號6樓、6樓之1,,
Curves古亭店,中正區,,,,,,,,,臺北市中正區羅斯福路2段116號3樓之1,,
Curves臺大公館店,中正區,,,,,,,,,臺北市中正區羅斯福路4段64號4樓,,
World Gym健身俱樂部公館店,中正區,,,,,,,,,臺北市中正區羅斯福路4段68號2樓,,
TrueFitness 全真概念古亭健身館,中正區,,,,,,,,,臺北市中正區和平西路1段2號B1~3樓,,
好時光女生運動樂園古亭店,中正區,,,,,,,,,臺北市中正區南昌路2段53號1樓,,
Force Fitness,中正區,,,,,,,,,臺北市中正區南昌路2段192號2樓之1、之2,,
就是肌力體能訓練中心,中正區,,,,,,,,,臺北市中正區金門街2-5號1樓,,
Morefit,中正區,,,,,,,,,臺北市中正區三元街200號1樓,,
BeeFit蜂運動寧波教室,中正區,,,,,,,,,臺北市中正區寧波西街79號,,
Force Fitness運動空間,中正區,,,,,,,,,臺北市中正區南昌路1段123號2樓之2,,
撞球家族撞球場,中正區,,,,,,,,,臺北市中正區和平西路1段68號地下1樓,,
A-ONE撞球運動場,中正區,,,,,,,,,臺北市中正區忠孝西路1段45號地下1、2樓,,
哈囉休閒撞球館,中正區,,,,,,,,,臺北市中正區信義路2段101號地下1樓,,
全球撞球館,中正區,,,,,,,,,臺北市中正區羅斯福路5段88號B1,,
國榮桌球古亭館,中正區,,,,,,,,,台北市中正區和平西路1段34號2樓,,
葫蘆洲運動公園游泳池〈內湖垃圾焚化廠〉,內湖區,,,,,,,,,臺北市內湖區安康路290號,,
市立南湖高中運動中心,內湖區,,,,,,,,,臺北市內湖區康寧路3段220號,,
內湖運動中心,內湖區,,,,,,,,,臺北市內湖區洲子街12號,,
碧湖公園游泳池,內湖區,,,,,,,,,臺北市內湖區內湖路2段175號,,
大湖公園游泳池,內湖區,,,,,,,,,臺北市內湖區成功路5段31號,,
MARTIAL ARMOUR MMA＆FITNESS大直館,內湖區,,,,,,,,,臺北市內湖區內湖路1段49號B1,,
正能量 FITNESS,內湖區,,,,,,,,,臺北市內湖區內湖路1段322號2樓,,
TrueFitness 全真概念內湖健身館,內湖區,,,,,,,,,臺北市內湖區內湖路1段659號B1,,
強大肌力訓練中心,內湖區,,,,,,,,,臺北市內湖區內湖路1段579號,,
Curves內湖西湖店,內湖區,,,,,,,,,臺北市內湖區內湖路1段387巷3弄4號,,
練一下GYMCUBE,內湖區,,,,,,,,,臺北市內湖區成功路3段145號地下樓,,
Curves內湖成功店,內湖區,,,,,,,,,臺北市內湖區成功路4段34號2樓,,
轉捩點健康工作室(H.F.P STUDIO),內湖區,,,,,,,,,臺北市內湖區內湖路2段395號2樓,,
極限健身中心內湖店,內湖區,,,,,,,,,臺北市內湖區民善街88號,,
World Gym健身俱樂部內湖福華店,內湖區,,,,,,,,,臺北市內湖區民權東路6段180巷6號地下2樓及地下2樓之1,,
臺北市網球中心附設健身房,內湖區,,,,,,,,,臺北市內湖區民權東路6段208號,,
Curves東湖店,內湖區,,,,,,,,,臺北市內湖區東湖路33巷17號1樓,,
World Gym健身俱樂部內湖店,內湖區,,,,,,,,,臺北市內湖區康寧路3段72號5至9樓及11至12樓,,
全民運動健身中心內湖店,內湖區,,,,,,,,,臺北市內湖區港墘路221巷33號2樓,,
UFC GYM 內科模範館,內湖區,,,,,,,,,臺北市內湖區洲子街55及57號,,
NIFEI FITNESS,內湖區,,,,,,,,,臺北市內湖區瑞湖街99號1樓,,
JOY FIT24,內湖區,,,,,,,,,臺北市內湖區文德路100號1至2樓,,
練一下GYMCUBE文德店,內湖區,,,,,,,,,臺北市內湖區文德路108號地下及108號地下之1,,
贏家撞球休閒運動館,內湖區,,,,,,,,,臺北市內湖區成功路3段83號地下1樓,,
好手撞球運動館,內湖區,,,,,,,,,臺北市內湖區成功路4段68號地下2樓,,
台北滑雪學校,內湖區,,,,,,,,,臺北市內湖區行愛路77巷67號,,
博嘉運動公園游泳池〈木柵垃圾焚化廠〉,文山區,,,,,,,,,臺北市文山區木柵路4段159巷16號,,
萬興國小,文山區,,,,,,,,,臺北市文山區秀明路2段114號,,
國立政治大學游泳館,文山區,,,,,,,,,臺北市文山區指南路2段64號,,
景美游泳池附設健身房,文山區,,,,,,,,,臺北市文山區羅斯福路5段176巷50號,,
靜心中小學,文山區,,,,,,,,,臺北市文山區興隆路2段46號,,
文山運動中心,文山區,,,,,,,,,臺北市文山區興隆路3段222號,,
木柵公園游泳池,文山區,,,,,,,,,臺北市文山區興隆路4段50號木柵公園內,,
芳鄰健身 Family Gym景美店,文山區,,,,,,,,,臺北市文山區羅斯福路6段130號地下室,,
IN GYM樂康健身俱樂部,文山區,,,,,,,,,臺北市文山區景隆街36巷2號2樓,,
Curves景美店,文山區,,,,,,,,,臺北市文山區景文街46-1號3樓,,
Dream Fit拳適能訓練中心,文山區,,,,,,,,,臺北市文山區景美街1-4號1樓及B1,,
真適能運動俱樂部,文山區,,,,,,,,,臺北市文山區木柵路3段77號10樓,,
Curves文山保儀店,文山區,,,,,,,,,臺北市文山區保儀路11號4樓之1,,
運動學 Fitology,文山區,,,,,,,,,臺北市文山區興隆路2段252號B1,,
飛碟撞球運動館,文山區,,,,,,,,,臺北市文山區木柵路3段96號地下2樓,,
景文撞球運動館,文山區,,,,,,,,,臺北市文山區景文街42號地下1樓,,
全球撞球館,文山區,,,,,,,,,臺北市文山區羅斯福路5段88號地下1樓,,
國立陽明大學游泳池,北投區,,,,,,,,,臺北市北投區立農街2段155號,,
國立臺北護理健康大學北護水療中心,北投區,,,,,,,,,臺北市北投區明德路365號,,
北投運動中心,北投區,,,,,,,,,臺北市北投區石牌路1段39巷100號,,
台北市中華基督教青年會唭理岸會館,北投區,,,,,,,,,臺北市北投區承德路7段312號1樓,,
洲美運動公園游泳池〈北投垃圾焚化廠〉,北投區,,,,,,,,,臺北市北投區洲美街271號,,
關渡國小,北投區,,,,,,,,,臺北市北投區中央北路4段581號,,
天溪綠地游泳池,北投區,,,,,,,,,臺北市北投區中山北路7段219巷3弄170號,,
前山公園游泳池,北投區,,,,,,,,,臺北市北投區建國街4號,,
七虎公園游泳池,北投區,,,,,,,,,臺北市北投區育仁路108號,,
臺北捷運公司北投會館游泳池,北投區,,,,,,,,,臺北市北投區大業路527巷88號,,
Curves石牌店,北投區,,,,,,,,,臺北市北投區裕民六路120號5樓,,
Curves北投店,北投區,,,,,,,,,臺北市北投區磺港路8號4樓,,
聚廠樂活運動館,北投區,,,,,,,,,臺北市北投區北投路2段13號B1-1,,
慢走體適能工作室,北投區,,,,,,,,,臺北市士林區中山北路6段284號1樓,,
台北市健力訓練站,北投區,,,,,,,,,臺北市北投區大同街137號1樓,,
世界盃撞球運動館,北投區,,,,,,,,,臺北市北投區中和街34號地下1樓,,
米家撞球用品社,北投區,,,,,,,,,臺北市北投區尊賢街226號地下1樓,,
世界健身中心民生店,松山區,,,,,,,,,臺北市松山區民生東路3段156號B1,,
汐游寶寶,松山區,,,,,,,,,臺北市松山區南京東路4段2號B1,,
松山運動中心,松山區,,,,,,,,,臺北市松山區敦化北路1號,,
松山國小,松山區,,,,,,,,,臺北市松山區八德路4段746號,,
三民公園游泳池,松山區,,,,,,,,,臺北市松山區撫遠街298號,,
勁能健身俱樂部,松山區,,,,,,,,,臺北市松山區八德路4段465號2樓,,
台北健身院八德店,松山區,,,,,,,,,臺北市松山區八德路4段656號B1,,
Curves松山店,松山區,,,,,,,,,臺北市松山區八德路4段666號4樓,,
臺安醫院新起點運動中心,松山區,,,,,,,,,臺北市松山區八德路2段424號7樓,,
WAO,松山區,,,,,,,,,臺北市松山區八德路3段34號B1,,
全民運動健身中心八德店,松山區,,,,,,,,,臺北市松山區八德路3段34號地下一層之1,,
Force Fitness小巨蛋店,松山區,,,,,,,,,臺北市松山區八德路3段120號2樓、2樓之1、2樓之2、2樓之3、2樓之4、2樓之5、2樓之6,,
TrueYoga 全真概念環亞瑜珈健身館,松山區,,,,,,,,,臺北市松山區南京東路3段337號9、10樓,,
GO GYM健身俱樂部巨蛋館,松山區,,,,,,,,,臺北市松山區南京東路4段2號,,
To Do Fitness,松山區,,,,,,,,,臺北市松山區南京東路4段15號3樓之１,,
Beyond Fitness,松山區,,,,,,,,,臺北市松山區南京東路4段17號地下1樓,,
Curves南京小巨蛋店,松山區,,,,,,,,,臺北市松山區南京東路4段50號4樓之2,,
WORK SPORTS,松山區,,,,,,,,,臺北市松山區南京東路5段84號2樓,,
健身工廠健康場,松山區,,,,,,,,,臺北市松山區健康路156號B1,,
World Gym健身俱樂部南京店,松山區,,,,,,,,,臺北市松山區南京東路5段196號1樓、198號地下1樓、198號1樓、198號2樓、198號2樓之1、198號3樓、198號4樓、200號1樓,,
Curves南京三民店,松山區,,,,,,,,,臺北市松山區南京東路5段202號3樓之5,,
康綠企業社,松山區,,,,,,,,,臺北市松山區南京東路5段268號3樓,,
Curves民生圓環店,松山區,,,,,,,,,臺北市松山區民生東路5段133號2樓,,
統一健身俱樂部台北民生館,松山區,,,,,,,,,臺北市松山區民生東路5段149號B1,,
